domain_uuid,domain_name,domain_enabled
6d6ff257-120f-47e4-98af-3ae7042db704,0001test.cosmocom.net,true
688189fa-f122-4731-a12d-01fe7ce3bff9,103.95.96.100,true
dd4f630a-e712-450b-8d5e-1a63fe6f4f00,aamartaka.cosmocom.net,true
0285acd6-92a4-48e1-a51d-c292f455e1ea,callcenter.cosmocom.net,true
ad41c50c-654c-4951-96c2-52af0c490f8c,nadiafurniture.cosmocom.net,true
79955a85-af55-4aee-82a5-4f15aea43384,nochinta.cosmocom.net,true
c10920f4-d246-4f1e-a9e8-4c50150185d1,pbx.cosmocom.net,true
79b9dabf-323c-4fa3-aad5-5b79482e980b,pilotsourcing.bd,true
20d55a44-8741-463b-90eb-3cd7965bcece,prantikholidays.cosmocom.net,true
363c86b8-1a31-4552-b8a3-d250ec3cd159,sonargaon.cosmocom.net,true
3f49cb8d-d2e5-451b-9614-c060958f1387,summitcorporation.cosmocom.net,true
506ba6c6-86ec-404e-80ad-781883654fb6,tb.com,true
